Episode,Total_reward
1,-51.8025754928
2,-51.8861422975
3,-51.396364627
4,-43.7960168437
5,-72.8486930082
6,-168.991882452
7,-125.677802162
8,-32.7038840254
9,-3.21607086918
10,-278.597864169
11,-84.6658325657
12,-135.484510209
13,-125.496614618
14,-126.690494275
15,-289.151311103
16,-42.4265075894
17,-55.1525773645
18,-40.4137164932
19,-7.45307828348
20,-48.7902611408
21,-34.1923157406
22,-50.4206696584
23,-65.4971490205
24,-74.6909733022
25,-124.89622391
26,-71.8441726626
27,-68.4333685713
28,-1914.13790383
29,-31.1485598102
30,-84.4013224485
31,-91.6192675551
32,-2106.09332299
33,-794.003519729
34,-172.718869531
35,-20.8369804252
36,-22.5984717884
37,-21.4579141484
38,-22.3843433527
39,-23.2368135111
40,-23.4211806348
41,-21.615881498
42,-22.6361438045
43,-22.6779776294
44,-23.0626444215
45,-22.7702974736
46,-23.1646328054
47,-22.9000464624
48,-17.8282068879
49,1.97768167953
50,-15.4742934352
51,-32.6985147483
52,-2.41336299272
53,-22.1848621999
54,-22.7054452848
55,-22.6059079766
56,-22.261879606
57,-22.9036407896
58,-22.2073714754
59,-22.2792784148
60,-23.6989428354
61,-22.265740664
62,-22.1181718824
63,-22.5695487564
64,-21.5321923476
65,-21.6604128368
66,-21.866472406
67,-20.0700900698
68,-20.2810514095
69,-22.415104958
70,-22.6979595141
71,-22.9230936841
72,-22.4755021601
73,-21.673167249
74,-22.1339261027
75,-22.8729057606
76,-22.5454851834
77,-22.0993843942
78,-23.436384305
79,-22.0332208534
80,-22.1928697156
81,-22.0100555209
82,-22.9114696926
83,-23.0212822189
84,-21.6113157031
85,-24.3722813979
86,-24.2008508147
87,-22.1713961544
88,-22.0277864711
89,-22.2428196164
90,-23.440642851
91,-22.5936650699
92,-28.1755039281
93,-22.1608530301
94,-22.7483636719
95,-23.652874794
96,-22.82100179
97,-23.0973988745
98,-23.0406916505
99,-22.9758110529
100,-23.4507813432
101,-23.2531487505
102,-22.9258935886
103,-22.8928061148
104,-22.7738998536
105,-22.316654719
106,-22.1949166418
107,-22.8867321716
108,-21.0129937396
109,-22.0743574509
110,-22.4466541074
111,-23.2016299619
112,-21.5552026507
113,-23.1234758946
114,-23.4033582035
115,-24.888969774
116,-29.0135619154
117,-25.7016973798
118,-22.923522912
119,-21.4181677784
120,-16.9209963715
121,-29.1325566367
122,-25.1890939022
123,-17.0877650347
124,-23.4120197342
125,-35.9040756281
126,-24.2442804617
127,-22.9172928187
128,-21.9806049027
129,-22.8928286039
130,-23.0018889227
131,-23.227177264
132,-23.5648334627
133,-24.7610189728
134,-22.3434178564
135,-24.6740711043
136,-22.9094750779
137,-23.1597978219
138,-23.7128633843
139,-22.8830719517
140,-22.2048668835
141,-22.8367467057
142,-22.8603165756
143,-21.2262777633
144,-23.2055405459
145,-22.3120367836
146,-22.8171395298
147,-18.1690321875
148,-18.4364711796
149,-23.2187265721
150,-22.2077666919
151,-22.5011064051
152,-22.5645106356
153,-22.7438475719
154,-27.0318164008
155,-22.6545769476
156,-23.0245937819
157,-22.7697623749
158,-22.7124885114
159,-21.2021532546
160,-22.2409758487
161,-9.43567410388
162,-13.0093564292
163,-21.5731895293
164,-20.9868137784
165,-1.84556082138
166,-2.98727849147
167,-3.59788764275
168,-7.04946306734
169,-11.4944390329
170,0.530912922714
171,-4.07290638294
172,-23.094579213
173,-23.1555824391
174,-11.6791594807
175,-28.1827271234
176,-11.6064263748
177,-20.3071087161
178,-83.0831792182
179,-161.908376455
180,-301.563053163
181,-21.4484703817
182,-21.774618666
183,-22.7154655997
184,-23.0611843315
185,-22.1021001409
186,-22.8264854522
187,-22.5427887556
188,-22.8407029178
189,-21.9543181879
190,-22.2676475643
191,-22.2146446787
192,-22.5529549336
193,-21.8938424312
194,-22.3431309196
195,-22.6343158754
196,-23.8242818164
197,-23.348107279
198,-21.6474355429
199,-23.8843436791
200,-23.7271226896
201,-23.2386294802
202,-22.0624137739
203,-22.9419752478
204,-22.146101015
205,-23.2863042996
206,-24.0530801829
207,-22.1853860663
208,-22.5132068146
209,-22.9036830747
210,-22.1364512149
211,-22.7280054327
212,-22.8463086428
213,-23.896578921
214,-22.9085849747
